"","Curso","Q50","Q51","Q52","Q75","Q76","Q77"
"39",2017,"You learn to think the experiment for yourself and understand it and not just follow the protocol.","Being something we have never done before, I think that, especially at the beginning, we should be helped more in the lab, especially when preparing the first protocol. Especially asking us to hand in a protocol on the first day of practice without having done it and without anyone ever having explained to us how to do it seemed difficult and confusing instead of educational.&nbsp;Also sometimes the organization of the practices has led us to get lost because each teacher told us a different thing and we were not clear what was evaluated.","As a suggestion I would add a short class on how to make a protocol before asking for one from us, because when following the moodle indications and then correcting it there were many things that were wrong. on the other hand I think that the help of the interns is essential for these practices since I consider that without their help I would not have understood many things since the teachers are busier and can not give us so much attention and so individual.",NA,NA,NA
"40",2017,"-Learning to work in a team-Having the initiative to design protocols and critical thinking of the written documents before carrying them out-Use of bioinformatics tools-Interpretation of results.","-The organization of the days, since there were down times.","Thank you very much for carrying out this new initiative of the Advanced Experimental Biochemistry I course. It motivates the students to develop everything they have learned in the theoretical classes by themselves, as well as to value the work of weeks in the laboratory. Undoubtedly, this new proposal should be continued in subsequent years.",NA,NA,NA
"41",2017,"Work on a model not used before.2. Working from scratch, trying to make modifications to a cell protocol to adapt it to a whole organism.3. Seeing the potential of the techniques, but at the same time the difficulty of getting it right.4.","Only one teacher for so many.two people in a single group being one of them from Erasmus that I do not know if he did not understand things or not and did not participate in developing protocols. At least, put Erasmus people in a group of 3 always.Much lack of material for all, lack of cuvette separators having own cuvettes.Too much work without more, we organized ourselves, I did not like forcing to do things just for overconfidence, better to delve into the experiments and repeat.Make controls and carry biological duplicates.Please, let choose our partners, we will not choose our partners but we really know with whom you can work.","More practice time.",NA,NA,NA
"42",2017,"I strongly prefer the open-ended question approach. Its fundamental benefit is that it involves the students much more, motivates them more and therefore increases the knowledge obtained. By feeling the experiment as personal, one is more involved. I think it also emphasizes the ability to analyze what controls are necessary, although in my group there was not enough emphasis on that.&nbsp;It is very good that we were given such a good list of general protocols.&nbsp;","In my group, there was not much emphasis on the necessary controls and I believe that this is one of the fundamental points that the open-ended question model helps to emphasize.&nbsp;On the day of sharing in the laboratory itself, some more organization is needed to avoid redundant information.Another point is that in the biochemistry group, although we had designed the experiments, in the end it was the teachers who distributed them. Therefore, in reality, the experiment was not the one we had designed or similar, but totally devised by the professors. The only thing that differentiated it from the closed-question format was that we had to adapt the protocols. Therefore, I propose that even if our experiments are not ideal, just direct us to what is possible, instead of directly giving us the design themselves;","",NA,NA,NA
"43",2017,"- It allows to have initiative to approach questions in one way or another- It allows to think about the conclusions and better approaches of the experiments, which does not happen with the programmed practices because they already start from predetermined experiments that must come out correctly.","- More information on what to deliver each day and what will be evaluable in each case- More feedback during the practices and not once the experiments are already advanced.","",NA,NA,NA
"44",2017,"I have learned to hypothesize, to make protocols, to reason and think for myself what I think should be done. I have learned to work in a team and to share the tasks, to share the responsibility among all.&nbsp;I have learned to use bioinformatics tools, to interpret graphs and to elaborate clear figures.&nbsp;In general what I value most is the opportunity that we have been given to be more autonomous and to reason.&nbsp;","The organization sometimes has not been adequate, since some days we had many experiments to do, while others not.&nbsp;As for the material, sometimes pipettes and tips were missing, and we had to share many things.&nbsp;Also the fact of working in trios makes that not all members participate equally, since some do some experiments and others do not.In the first sessions I think it is necessary to explain with a model how a hypothesis is formulated, and how a protocol is elaborated, since we had never done it before.&nbsp;I also think that there should be more involvement from the teachers in some occasions, and a consensus among them since sometimes they gave us contradictory solutions&nbsp;","",NA,NA,NA
"45",2017,"Encourages teamwork, initiative and reflection on why each experiment is performed.","Chaos in the method of qualification","It should be better explained what the notebook should contain, and feedback should be given almost daily to each group.",NA,NA,NA
"46",2017,"Radical change of approach to traditional practices that allows to get closer to the reality of a laboratory and requires a higher thinking capacity.Committed and involved teachers, as well as the ""assistants"".&nbsp;","No choice of working group, which can hinder the development of the internships, as it is the first year, there has been a lack of information during the first days, which has hindered individual work due to a lack of knowledge of the real objectives of the protocols. Lack of feedback from teachers at the beginning.","Give much clearer ideas about how the protocol should be written and what is to be assessed in the intro class. It would make the work much easier from day one.Good job overall, thanks!",NA,NA,NA
"47",2017,"It invites you to put yourself in the role of a researcher who asks a question and has to find a way to find the answer.&nbsp;It awakens our ability to integrate all our knowledge and helps us to see to what extent we know the applications of what we have studied.","It is necessary to improve the organization, both in terms of time and materials, in order to improve the results of the experiments and the motivation of the students.","I would like to emphasize that for the good development of the experiments and the correct learning of the students, the exhaustive dedication of the teachers and laboratory personnel plays a fundamental role. This is especially important due to the individual character of the experiments. The teacher's encouragement for the students to share all their doubts before getting to work on any aspect is fundamental for this subject.Having said that, I think there were notable differences in the organization of the groups that should be improved to adapt to the established schedules.",NA,NA,NA
"48",2017,"This internship has been totally different from anything we have done so far, it has allowed us to realize many things that we did not know so far, such as the fact that you have to work much more than we thought because the design of the protocol takes a long time before working in the poyata. We have also learned what research is in a closer and more realistic way than doing the traditional practices that have been done all these previous years;","Some more coordination between the different teachers, since sometimes they were not clear about how the evaluation of the protocols was going to be carried out or when. We should be given feedback on our individual protocols before the group one is done or delivered, because mistakes made by all members of the group in the individual one will not be included in the group one because no one will be aware of them unless they are corrected;","",NA,NA,NA
"49",2017,"A good approach to be able to really build scientists for the future, the learning process is the right one.","Teachers who were not clear about the methodology and delayed the student (although not in our group), need for more hours (those that exist are unnecessary), greater freedom for the student to be able to carry out experiments individually (and not tied to a group), need for work sessions in groups of 3 to be able to carry out protocols and daily work much more in common.","A greater availability of time and techniques is necessary. Each student should have enough freedom to be able to carry out experiments on his own, which would greatly increase learning but would also increase the need for guidance (i.e., not doing the experiments in groups of 3 but in groups of 1). Finally, more time is needed because the student does not have the margin to be able to perform the experiments he/she wants and fine-tune them to obtain conclusions. In addition, the groups did not always work well and the distribution of the work after the laboratory was not equitable. In general, a much more useful internship than in other occasions, however there are improvements to be made.",NA,NA,NA
"50",2017,"Better integration of results from different groupsBetter teamworkThinking about our own hypothesis and objective and how to execute the protocolBetter organization skills","Lack of material&nbsp;Lack of organization","",NA,NA,NA
"51",2017,"You learn more about how to manage in a laboratory by yourselfYou don't have to focus only on a pre-established protocol but think about how to develop it from scratchThere is more involvement in understanding the methods and pathways of study.","Although there is more freedom when working in the laboratory, sometimes it is too much for the first time we do itMost of the protocols that were provided were wrong&nbsp;Especially at the beginning of the practices it is necessary more support and help from teachers, to begin to devise a protocol.It was not clear from the beginning what documents had to be delivered or what was going to be evaluated.","I think it is necessary to explain in detail at the beginning of the internship how to make a protocol, since it is the first time we do it and some of the guidelines that were provided in moodle were not shared by all teachers.",NA,NA,NA
"52",2017,"Thinking by ourselves the experiments we wanted to perform to solve the problemHaving to interpret all the results really forces you to understand the technique you have doneDrafting the reports in a group manner","Having to write individual reports on something you are working on as a groupIn our particular case, we received very little feedback from the teachers on the scripts we were writingSometimes there was very little coordination between teachers on how we were going to proceed.","Thank you very much for taking into account the complaints of previous years and elaborating this new model of laboratory practices, I liked it much more than the models of previous years.",NA,NA,NA
"53",2017,"Allow for more student participation, and make the practices more like real research in the labs, and not so much following a ""recipe"" that is already given to us.&nbsp;","The organization in general (although I understand that it is difficult because it was the first year).&nbsp;The chaos when it came to knowing what to deliver and when.&nbsp;","",NA,NA,NA
"54",2017,"-To give enough freedom to let us fail ourselves on what we had raised and try to explain it, to familiarize us with many laboratory techniques (PCR-Q, retro-PCR, Western-Blot...);","","",NA,NA,NA
"55",2017,"The experience has been very interesting, since at the end of the day this is what we will eventually have to do in our experimental life. I have learned to design experiments and protocols, and to analyze experimental data.&nbsp;I would like to highlight the work of Rojo and Oscar and the interns of the first week.&nbsp;","The proposed schedule is not sufficient, more hours are needed. Also the delivery times were very rushed.&nbsp;","",NA,NA,NA
"56",2017,"","","",NA,NA,NA
"57",2018,"Independence.","Lack of time.","The help of professionals who are doing their doctorate is essential (Laura, Patricia, etc.).",NA,NA,NA
"58",2018,"More freedom to design the project","Insufficient time to prepare the presentation","",NA,NA,NA
"59",2018,"","","",NA,NA,NA
"60",2018,"","","",NA,NA,NA
"61",2018,"Work in a team, establish hypotheses and have autonomy when designing experiments","","",NA,NA,NA
"62",2018,"","","",NA,NA,NA
"63",2018,"-Having to design the whole experiment from scratch reinforces group work and learning in the laboratory.","","",NA,NA,NA
"64",2018,"The independence they give us and teamwork","It is not possible to perform all the experiments we can think of.","",NA,NA,NA
"65",2018,"","","",NA,NA,NA
"66",2018,"Autonomy, flexible schedule, feedback and proximity to teachers","The course is not long enough, we could not finish it.","",NA,NA,NA
"67",2018,"It has been much more useful than previous years' practices. We had to think a lot, reason, ask questions, inform ourselves and, once the experiment was underway, it was interesting to question the protocol and see that the whole final report was really the work of the team, and not of an already established script.","There were overlaps in the use of the sterility booth, as there are many groups that need it.","",NA,NA,NA
"68",2018,"Freedom of approach, teachers only advise you and let you fly free, giving more sense of accomplishment.","There were times when teachers told us contradictory things, hindering our work.","",NA,NA,NA
"69",2018,"Learning to work in a team and design an experiment from the beginning, so we have acquired more autonomy in the laboratory.","Some experiments could not be done due to lack of material and time.","",NA,NA,NA
"70",2018,"It has been very interesting and we have learned to manage very well.","There was a lot of uncoordination between teachers. Depending on which one you asked, they answered one thing or another, so we ended up even more confused. The distribution of the culture cabin was also a bit chaotic. There was also sometimes a lack of material.","",NA,NA,NA
"71",2018,"","","",NA,NA,NA
"72",2018,"We have learned to take charge of our work instead of following instructions as we have been doing up to now.","Someday too many hours.","",NA,NA,NA
"73",2018,"- Freedom to work - Teacher assistance - Team work","- Little time for projects - The pooling of all the groups","",NA,NA,NA
"74",2018,"","","",NA,NA,NA
"75",2018,"Freedom in decision making.integration of groups in different teams.cordial relationship with teachers.","Teacher and student stress, some lack of foresight in the experimental design.","",NA,NA,NA
"76",2018,"We have learned to work more independently in the laboratory and to manage with the techniques that we had practiced in other years supervised by the teachers.","there has sometimes been a lack of coordination in the use of some common resources in the laboratory.","",NA,NA,NA
"77",2018,"","","",NA,NA,NA
"78",2018,"Independence of the student and facing a ""real situation"" when planning an experiment.high participation of doctoral students, which makes the task much easier.","It would take more organization in the first week, the time until the protocol is done and the experimental design is a bit chaotic.","",NA,NA,NA
"79",2018,"The course is very well thought out and you learn a lot more than in the traditional internship model.","We have had little time, we have missed at least one more day for the presentation and for the weekly sharing.","",NA,NA,NA
"80",2018,"In addition to all the characteristics evaluated, the autonomy acquired is important.","Despite the effort I think we needed more feedback from the teachers.","",NA,NA,NA
"81",2018,"","","",NA,NA,NA
"82",2018,"Teamwork. Very good atmosphere with classmates, professors and PhD assistants. There was always a priority for us to learn and understand. We were given importance and listened to. Very satisfied with the professors!","Sometimes the time to do each thing was not well distributed.","",NA,NA,NA
"83",2018,"The student's involvement and interest in the course is greater because they have to actively participate in it.","more precisely define the protocol delivery format","",NA,NA,NA
"84",2018,"Very good format since it is in line with what is expected of us in the near future.","The need for coordination among all teachers when preparing the notebook, not only in our practice group but in relation to all of them, in order to obtain equivalent scores.","",NA,NA,NA
"85",2018,"Freedom to students.","Imposition of hypotheses by the teachers, poor organization when it comes to scheduling hours.","Further indications are necessary for the completion of the notebook.",NA,NA,NA
"86",2018,"- Learn to make decisions regarding study conditions- Learn to scale general protocols to my needs- Learn to restructure the experimental development as results are coming in- Learn to restructure the experimental development as results are coming in","- Experimental techniques are assumed to be used in a way that is not real- A lot of time is wasted in ""finding"" the reagents.","The teachers are very busy, understandably, but there are mistakes that we could have avoided by having time to review the protocols beforehand. When we waited to review we were very late.",NA,NA,NA
"87",2018,"learning about experimental design","Presentations on the last day are so long that attention is lost","",NA,NA,NA
"88",2018,"- allowing students to design and perform the experiments allows us to learn about the whole process of experimentation carried out in the laboratory.","","It might be beneficial to have a lecture before the start of the internship in which the experiments that can be performed during the course of the internship are explained more specifically.",NA,NA,NA
"89",2018,"","","",NA,NA,NA
"90",2018,"The possibility of posing any hypothesis and designing the necessary experiments to affirm or reject it seems to me very interesting in view of the future work in a laboratory, where you have to read literature, pose answers to different biological questions, discuss why you get negative results, etc.","Although the course lasts 1 month, it seems to me a bit short, even if it is impossible to extend it more. Maybe having a few more hours a day would be good, although exhausting.","It seems to me that the new internship model is the right one for third year students, given that next year we will have to do a TFG. Besides, it is a model where you learn more by getting negative results in the experiments than positive results and a good time to accept that frustration with negative results can arise at any time. However, overcoming this by elucidating why the results are negative and designing other experiments to obtain the positive results is a very enriching experience.",NA,NA,NA
"91",2018,"","You have to choose a group without having much information on what experiments are usually done in each group. Day 1 was a bit useless","It would be nice to have more time at the beginning of the internship to design the experiment and check with the teachers if there are enough controls and replicates.",NA,NA,NA
"92",2018,"These internships allow students to learn more about how experiments are designed to achieve an objective, something that is not done in traditional internships. This is positive since it brings the student closer to what is really done in a research laboratory.","As for deliveries and reports, the form of delivery should be much more defined: more oriented towards a laboratory notebook or a paper, or both separately, and there should also be more coordination in the laboratories to avoid waiting times (booths...).","",NA,NA,NA
"93",2018,"- Freedom of the student to choose the experiments making them more interesting.- Flexibility throughout all the practices making constant decisions, which makes the process more organic.- Large repertoire of experiments that we can do.","- The practices and times needed need to be refined a bit - Perhaps promote more the resolution of unsolved experiments in the literature, even at the risk of not getting them done.","In general I think it is a good initiative and I think there should be some feedback with cantoblanco to try to apply the model in the practices of the rest of the subjects.",NA,NA,NA
"94",2018,"The fact of working in a group that is more or less random, so that we learn to work with people who are not the ones we are usually with. In addition, they are experiments that require a great deal of coordination, and the fact that our experiment is not ""given to us"" forces us to integrate the different techniques and to know what results we should expect. The discussions in common are important and by commenting with colleagues from other groups we have been able to see how to work in a real laboratory.","Time was scarce at times, lack of previous explanation of how each group of practices was going to be. The first week we spent a lot of time designing and then we did the experiments in a hurry, a better explanation of how to do the notebook is needed, because despite the rubric, it is somewhat confusing.","The global exam in this subject is NOT VALUE FOR ANYTHING, since it is only about experimental protocols and our ability to devise an experiment should not be measured in a memory exam. It is better to evaluate the presentations that are made or give more value to the final notebook, which is where the student's effort and understanding is truly valued.",NA,NA,NA
"95",2018,"Sandra and Maria Modesto and Juan","","",NA,NA,NA
"96",2018,"","","",NA,NA,NA
"97",2018,"The fact that it is all open and you face the real research. Feeling that what you do has value and you don't just follow a few steps that a robot could do.","None.","Thank you for this internship!",NA,NA,NA
"98",2018,"Teamwork, interest, resemblance to a real laboratory experience and not ""prepared"".","Lack of a common criterion among all the professors when it came to advising us on the design of protocols, analysis, exposure time in the last session, etc. This has led to quite chaotic situations and has forced us to modify our protocol quite a large number of times, which has made it difficult to comply with the planned organization. In addition, at the beginning they gave us a bad face when we proposed to stay more hours in the laboratory working, when we know that in the rest of the laboratories they have never had any objections.","",NA,NA,NA
"99",2018,"Teamwork, independence, getting to know other people, ability to design experiments and analysis.","They should allow us a wider window of time per day to organize the experiments (there are things that cannot be done in 4 h).accelerate the process of designing the protocols in the first days of practice to start earlier with the practical part.lack of a common criterion in all teachers when advising us in the design of protocols, analysis, presentation of results in the notebook, time per group in the final presentation. This has been a bit chaotic, besides the fact that it has been noticed a great subjectivism in these evaluable aspects.","",NA,NA,NA
"100",2018,"For the first time in our careers we have been confronted with a situation similar to the one we will face in a research-focused work environment.it helps us much more to think about what the results of an experiment designed by us mean than to follow a designed scriptThe assistants in the biochemistry/metabolism lab have been very good.","The delivery format of the notebook is not clear.","This type of practice should be implemented in all experimental subjects of the degree program.",NA,NA,NA
"101",2018,"It has brought us closer to the work dynamics of a laboratory, allowing us to gain autonomy in decision making.","At the time of setting up the hypothesis and the initial design of the experiment, we did not have enough information and we did not know which experimental approaches we would actually be able to use.","",NA,NA,NA
"102",2018,"The independence given to the students, that you let us solve our own problems, that you support us with our ideas, that the teachers are involved and do not mind staying in the evenings with the students, etc.","More reagents and antibodies would be needed... they are expensive, but some anti-SCAP, anti-histone, anti-HSP90 antibodies... would be nice.","Rojo is a great teacher. The PhD students are also great, they allow us to learn in a very nice atmosphere.",NA,NA,NA
