Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Completado;Q00_Group;Q00_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q00_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q00_equipment->Lab equipment was well mantained/modern;Q00_Length and schedule->The course is too long;Q00_Length and schedule->The period allocated for the course within the term is appropriate;Q00_Length and schedule->On average, the number of hours per day is sufficient;Q00_General methodology->student engagement;Q00_General methodology->course interest;Q00_General methodology->course usefulness;Q00_General methodology->demand on student's part;Q00_General methodology->course difficulty;Q00_method_objectives->State a hypothesis;Q00_method_objectives->Design an experimental strategy to answer specific biological questions;Q00_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q00_method_objectives->Write an experimental protocol including all relevant controls;Q00_method_objectives->Execute an experimental protocol;Q00_method_objectives->Record, analyze and interpret experimental results;Q00_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q00_method_objectives->Follow lab safety rules;Q00_method_objectives->Ability to work in a team;Q00_Activities interest->Introductory lecture (day 1);Q00_Activities interest->Stats Intro (day 2);Q00_Activities interest->Initial brainstorming session (day 2);Q00_Activities interest->Group meetings (experiment planning and design);Q00_Activities interest->Team feed-back session (propossal design);Q00_Activities interest->Final group discussion session (day before the last);Q00_Activities interest->Final class discussion session (last day);Q00_activities length->Introductory lecture (day 1);Q00_activities length->Stats Intro (day 2);Q00_activities length->Initial brainstorming session (day 2);Q00_activities length->Group meetings (experiment planning and design);Q00_activities length->Team feed-back sessions;Q00_activities length->Final group discussion session (day before the last);Q00_activities length->Final class discussion session (last day);Q01_Assessment Items 1->Safety and clean-up weekly evaluation;Q01_Assessment Items 1->Individual lab notebook evaluation (design);Q01_Assessment Items 1->Group lab notebook evaluation (design);Q01_Assessment Items 1->Group lab notebook evaluation (results);Q01_Assessment Items 1->Peer-evaluation (Team);Q01_Assessment Items 1->Final exam;Q02_Learning Objectives->State a hypothesis;Q02_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q02_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q02_Learning Objectives->Write an experimental protocol including all relevant controls;Q02_Learning Objectives->Execute an experimental protocol;Q02_Learning Objectives->Record, analyze and interpret experimental results;Q02_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q02_Learning Objectives->Follow lab safety rules;Q02_Learning Objectives->Ability to work in a team;Q03_Best;Q04_Worst;Q05_final_Open;Q06_On the Electronic Note Book->-I knew OneNote before the course.;Q06_On the Electronic Note Book->-I find OneNote a useful app for the elaboration of the course Notebook.;Q06_On the Electronic Note Book->-I think we had enough previous information about the use of OneNote for the course laboratory notebook.;Q06_On the Electronic Note Book->-I would prefer other applications like Evernote, Google Docs, or MS Word.;Q06_On the Electronic Note Book->-The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.;Q06_On the Electronic Note Book->-I would recommend to use OneNote for the ELN next year.;Q07_On the Electronic Note Book->-It overall allowed us to save time through the whole course.;Q07_On the Electronic Note Book->-It helped us in the preparation of the final version to be presented.;Q07_On the Electronic Note Book->-It made it easier working in groups.;Q07_On the Electronic Note Book->-It could be useful for other practical courses.;Q08_On the Electronic Note Book->-Synchronization issues hindered our team-working.;Q08_On the Electronic Note Book->-Conflicts of versions were very frequent.;Q08_On the Electronic Note Book->-Access to the ELN was slow.;Q08_On the Electronic Note Book->-We missed several word-processing features.;Q08_On the Electronic Note Book->-Some features of the application did not work properly.;Q09_On the Electronic Note Book->-The template helped us to prepare the final version of the notebook.;Q09_On the Electronic Note Book->-The structure of the template matches the evaluation rubric.;Q09_On the Electronic Note Book->-The structure of 4 independent notes helped to understand each step of the work in a research lab.;Q09_On the Electronic Note Book->-The word limit in some sections of the template is appropriate (1;Q09_On the Electronic Note Book->-We had to modify some sections of the template to suit our experimental work.;Q09_On the Electronic Note Book->-The template will facilitate an even evaluation.;Q09_On the Electronic Note Book->-The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).;Q10_final_Open On the ELN;Q11_Project desing teams session;Q12
134057;20/12/2022 11:59:26;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo11;;y;5 : Flies;5;4;5;2;3;4;3;2;3;3;2;5;3;3;3;3;3;5;3;5;4;2;4;5;1;5;4;2;1;2;2;1;3;2;-1;-1;5;5;3;-1;3;4;3;4;5;5;5;3;5;Primer contacto con trabajo independiente y discusión de resultados en grupo.;Mala gestión del tiempo/ tiempo insuficiente, como resultado se salía tarde todos los días ;;1;4;3;1;3;4;5;3;5;4;3;4;1;3;4;5;4;3;3;4;5;3;;;
134027;20/12/2022 11:47:30;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo12;;y;2 : Metabolism;4;1;4;2;5;5;3;2;3;3;2;5;5;5;5;2;3;4;3;5;4;4;4;4;4;5;5;2;2;1;2;2;2;2;3;3;3;4;4;3;3;3;4;2;4;4;3;4;5;Trabajo y organización del tiempo en equipo ;Largos periodos no haciendo nada por falta de recursos para todos los grupos al mismo tiempo y solapamiento entre protocolos ;;2;4;2;3;1;3;5;5;5;5;2;1;2;1;2;4;4;3;3;4;3;4;;;
134020;20/12/2022 11:43:41;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo13;;y;1 : Biochemistry;5;3;4;1;5;5;3;3;3;3;3;5;5;3;4;3;3;5;3;4;2;2;3;4;5;5;5;1;2;2;2;2;2;2;1;4;5;5;3;3;3;4;4;5;5;4;4;3;3;Te dan libertad, permitiendote ganar autonomia para el futuro trabajo en el laboratorio;Poco tiempo;;1;3;4;1;5;4;3;3;3;3;5;4;2;4;4;3;3;2;3;4;4;5;pros OneNote:-es facil de usarcons: -los excells dan error-si pones fotos tarda en que lo vean todos los integrantes;;
134052;20/12/2022 11:59:05;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo14;;y;1 : Biochemistry;5;3;5;1;5;5;3;3;3;3;2;5;5;3;5;4;5;5;2;4;2;2;2;2;4;5;5;2;2;1;1;2;2;2;2;5;-1;3;5;5;2;5;3;5;5;5;4;2;5;La libertad de diseño protocolario y experimental ;No tiene sentido dedicar tantas sesiones a la elaboración de pregunta- hipótesis- objetivos, puesto que no hay un criterio fijo para su planteamiento;;1;1;3;5;4;1;2;2;4;2;5;5;5;5;5;4;4;4;3;3;3;3;OneNote es una aplicación no muy recomendable ya que tiene numerosos fallos de conexión e incompatibilidad de versiones. Recomendaría el uso de otros métodos, como Teams.;;
134030;20/12/2022 11:49:07;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo15;;y;3 : Transcription;4;4;5;1;5;3;3;3;3;2;2;5;5;5;5;5;5;5;5;5;3;4;3;5;1;4;3;1;1;2;3;1;3;2;-1;1;4;4;5;3;4;4;3;5;5;4;4;4;4;;;;1;4;5;1;5;5;1;4;5;3;3;1;5;2;2;2;1;1;1;3;4;2;;;
134016;20/12/2022 11:30:26;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo16;;y;4 : Yeast;2;5;4;1;3;5;3;3;3;3;3;5;5;4;5;4;3;4;3;5;1;4;4;5;5;5;3;1;2;3;3;3;3;1;1;5;5;4;3;2;5;5;4;4;3;5;3;2;5;Formulación de preguntas generales de forma más precisa (definición de variables, controles), elaboración de hipótesis, objetivos y procedimientos experimentales para refutar/confirmar la hipótesis, análisis de resultados y presentación (incluyendo la parte de análisis estadístico).;Falta de tiempo para realizar experimentos y discutir resultados de forma pausada. Además de la ausencia de cooperación y sintonía entre ramas (sobre todo en la presentación de hipótesis y resultados).;;2;3;1;1;3;5;4;5;5;5;4;5;4;4;5;5;4;3;3;3;5;5;;;
134018;20/12/2022 11:46:49;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo17;;y;4 : Yeast;2;2;4;1;3;4;3;3;3;3;3;5;5;4;5;1;4;3;3;4;4;5;2;2;3;4;5;2;2;2;1;1;2;2;3;4;4;4;4;3;4;4;4;4;3;5;4;4;5;El sistema de pregunta abierta me parece muy bueno y creo que ha hecho que tengamos que reflexionar y tomar decisiones sobre aspectos importantes que en unas prácticas tradicionales no hubiéramos abordado.;Las clases de puesta en común eran demasiado largas y se dedicaba mucho tiempo a hablar sobre temas como distintos filósofos, científicos y visiones de como abordar el mundo y la ciencia, los cuales en otra situación resultarían muy interesantes, pero es cierto que en esta situación en la que se iba muy justo de tiempo impidieron en parte pasar más tiempo en el laboratorio y fueron algo limitantes a la hora de hacer experimentos. ;;1;4;4;3;3;3;3;3;4;4;4;3;4;5;4;4;4;2;2;4;4;4;;;
134038;20/12/2022 11:55:53;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo18;;y;3 : Transcription;4;3;4;2;4;4;3;3;3;3;3;4;5;4;4;2;4;4;3;4;2;2;3;5;5;5;4;1;2;2;2;2;2;2;3;5;4;4;3;3;3;4;2;4;4;4;4;4;5;Aprender a trabajar en equipo en una situación real de laboratorio, la organización del curso te obliga a desarrollar una habilidad de aprender a pensar de forma razonada teniendo en cuenta muchas más variables;No tengo;;3;5;4;2;5;4;4;4;5;5;2;1;4;3;3;4;3;4;4;5;3;4;Pros: te permite comparar tu trabajo de forma rápida con la de otros grupos permitiéndote tener una imagen más amplia de las diferentes formas de organizar un cuaderno de laboratorioCons: El programa muchas veces es lento, y tiende a bloquearse, obligándote a salir y volver a entrar de la aplicación.;Aprendes a trabajar con gente con la que no estás acostumbrado a hacerlo, obligándote a trabajar con todo tipo de personas, trabajas en una situación más real.;en función del grupo al que has sido asignado aprenderás a trabajar de forma diferente con respecto a compañeros de otros grupos.
134035;20/12/2022 11:53:07;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo19;;y;3 : Transcription;3;2;2;1;4;4;3;3;3;3;2;5;5;4;5;3;3;5;3;3;2;4;5;5;1;5;3;1;2;2;3;1;2;1;-1;3;3;3;4;-1;3;4;2;4;4;4;4;4;4;La parte más positiva de estas practicas ha sido el hecho de tener libertad para decidir que experimentos ibamos a realizar en funcion de que queriamos averiguar y el diseño de dichos experimentos. Ya que al tener que pensar nosotros el experimento desde cero nos permite desarrollar más nuestras habilidades y creatividad para diseño de experimentos.;;;5;4;4;3;3;3;3;4;5;4;1;1;1;4;1;2;3;4;4;4;4;3;Ventajas: Al poder escribir todos los del equipo a la vez en el One Note hace muy facil repartir tareas y la visualizacion de lo que hacen los demas. Además, como podemos ver lo que hacen los otros miembros de la misma rama te permite comparar resultados y completar tu cuaderno con cosas que se han discutido en común.Contras: Si que es verdad que se pierden algunas funcionalidades de Word que podrían ser utiles.;El diseño en común entre todos los equipos permite aportar diferentes ideas sobre los experimentos que solo a tu equipo a lo mejor no se le ocurren y además permite tener una visión global de todo el trabajo del grupo, lo cual es importante porque estamos trabajando en lo mismo.;
134042;20/12/2022 11:50:50;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo20;;y;3 : Transcription;3;3;3;1;5;4;3;3;3;3;2;5;5;5;5;5;5;5;3;5;1;5;5;5;4;4;2;1;2;2;2;2;2;2;4;5;5;5;4;-1;5;5;4;5;5;5;5;5;5;Me ha encantado trabajar con el grupo y sentir que podemos proponer ideas y valorarlas. Me ha gustado que no haya guión, ya que nos ha ayudado a pensar por nuestra cuenta y a acercarnos más a la realidad de un laboratorio. Además, Luis, Julián y el resto de ayudantes han sido de gran ayuda. ;La falta de materiales en el laboratorio (pipetas sobre todo);;5;3;2;4;3;3;4;4;4;4;2;2;3;3;3;4;3;2;2;4;4;3;;Permitía editar el cuaderno conjuntamente y hacerlo todos a la vez, ahorrando así tiempo;
134064;20/12/2022 12:04:57;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo21;;y;5 : Flies;2;4;3;1;5;5;3;3;3;3;2;4;5;3;5;5;5;5;2;5;2;2;5;4;1;5;5;1;1;2;2;1;2;2;-1;-1;5;5;3;4;4;5;3;5;5;5;5;2;5;Capacidad de pensamiento propio y razonamiento se desarrollan. La gran libertad hace que aunque pases muchas horas en el lab estas se hagan libianas.Juan y Modesto son un lujo de profesores y ha sido un placer trabajar con ellos.;La sesión de feedback parece más una clase de semántica que otra cosa. Debería centrarse más en aprender sobre los otros experimentos que en formular la hipótesis o la pregunta general.Los reactivos son malos y muchas veces están caducados. En la medida de posible deberían renovarse. Por ejemplo los anticuerpos no eran muy buenos.;;1;5;5;1;5;5;5;5;4;5;1;1;1;1;3;5;5;5;5;3;4;3;;;
134058;20/12/2022 12:01:50;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo22;;y;1 : Biochemistry;5;4;4;2;4;5;3;3;3;2;2;5;5;3;5;3;2;3;3;4;1;2;4;4;1;4;5;1;2;2;2;1;3;2;4;4;4;2;5;2;4;4;2;4;4;4;3;3;5;La independencia a la hora de elaborar las hipótesis y llevar a cabo el diseño experimental aumenta el interés por las prácticas.Da la oportunidad de trabajar con gente que, de otra manera, no habrías coincidido;Demasiada gente quería usar la misma máquina (revelar WB) y eso hacía que fuera todo un poco caótico.La sesión de discutir hipótesis entre ramas no sirvió de mucho porque cada grupo había recibido  unas directrices diferentes para desarrollarlas.El OneNote a veces no funciona muy bien;;5;4;2;3;5;3;2;2;4;3;4;4;2;4;3;3;3;2;3;3;4;2;No lleva bien introducir excels (necesario para parte de los cálculos de muchos experimentos) y siempre crea conflictos de versionesLas cosas a veces tardaban mucho en cargar entre ordenadores;Ayudó a ubicarnos un poco en lo que íbamos a hacer, ya que ninguno sabíamos muy bien cómo enfocarlo;Hubo un poco de malentendidos entre lo que queríamos hacer y las modificaciones de hipótesis propuestas
