Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Q01_Group;Q02_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q02_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q02_equipment->Lab equipment was well mantained/modern;Q03_Length and schedule->The course is too long;Q03_Length and schedule->The period allocated for the course within the term is appropriate;Q03_Length and schedule->On average, the number of hours per day is sufficient;Q04_General methodology->student engagement;Q04_General methodology->course interest;Q04_General methodology->course usefulness;Q04_General methodology->demand on student's part;Q04_General methodology->course difficulty;Q05_method_objectives->State a hypothesis;Q05_method_objectives->Design an experimental strategy to answer specific biological questions;Q05_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q05_method_objectives->Write an experimental protocol including all relevant controls;Q05_method_objectives->Execute an experimental protocol;Q05_method_objectives->Record, analyze and interpret experimental results;Q05_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q05_method_objectives->Follow lab safety rules;Q05_method_objectives->Ability to work in a team;Q06_Activities interest->Introductory lecture (day 1);Q06_Activities interest->Biosafety lecture (day 2);Q06_Activities interest->Bioinformatics session (day 2);Q06_Activities interest->Initial brainstorming session (day 2);Q06_Activities interest->Group meetings (experiment planning and design);Q06_Activities interest->Team feed-back sessions;Q06_Activities interest->Final group discussion session (day before the last);Q06_Activities interest->Final class discussion session (last day);Q07_activities length->Introduction (day 1);Q07_activities length->Biosafety lecture (day 2);Q07_activities length->Bioinformatics session (day 2);Q07_activities length->Initial brainstorming (day 2);Q07_activities length->Group meetings (planning and design);Q07_activities length->Individual/team feed-back;Q07_activities length->Final group discussion session (day before the last);Q07_activities length->Final class discussion session (last day);Q08_Assessment Items 1->Safety and clean-up weekly evaluation;Q08_Assessment Items 1->Individual lab notebook evaluation (design);Q08_Assessment Items 1->Group lab notebook evaluation (design);Q08_Assessment Items 1->Group lab notebook evaluation (results);Q08_Assessment Items 1->Peer-evaluation (Team);Q08_Assessment Items 1->Final exam;Q09_Learning Objectives->State a hypothesis;Q09_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q09_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q09_Learning Objectives->Write an experimental protocol including all relevant controls;Q09_Learning Objectives->Execute an experimental protocol;Q09_Learning Objectives->Record, analyze and interpret experimental results;Q09_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q09_Learning Objectives->Follow lab safety rules;Q09_Learning Objectives->Ability to work in a team;Q10_Best;Q11_Worst;Q12_final_Open
38891;21/12/2017 12:10:19;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;4;5;3;2;5;4;3;3;3;3;2;5;5;3;5;5;4;5;3;5;5;5;5;4;5;5;5;5;1;2;3;2;2;2;2;2;5;1;5;5;5;3;4;4;4;4;5;4;4;4;5;Un planteamiento innovador en las prácticas, a mi parecer mucho más útil de cara a nuestros futuros trabajos, pues experimentamos de primera mano como funciona un laboratorio y un equipo de investigación, permitiendo integrar datos de distintos grupos e incitándonos a pensar por nosotros mismos como resolver problemas.;Al ser el primer año con este planteamiento hubo inicialmente un poco de caos en la organización, y recibimos varias veces informaciones diferentes, aunque luego fueran aclaradas.;Para el siguiente año estaría bien tener una mejor organización premeditada que permitiera a los alumnos realizar más experimentos y abarcar más abordajes diferentes que permitan un mayor aprendizaje.
38897;21/12/2017 12:11:34;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;1;1;1;3;3;1;3;3;2;3;2;5;5;5;5;3;3;4;1;5;3;1;5;5;4;4;5;5;2;1;2;2;3;3;3;3;0;1;1;4;0;0;5;4;3;3;3;4;4;5;5;"Es innovador y rompe con los esquemas de las prácticas tradicionales, acercándonos de una forma más realista al trabajo de laboratorio de cara a la realización del trabajo de fin de Grado, y permitiéndonos también alcanzar una mayor independencia en la realización de nuestro trabajo.&nbsp;";"Falta de organización entre los profesores, frecuente información contradictoria en relación a los experimentos, falta de anticipación en la corrección de protocolos que ya se estaban realizando antes de su propia corrección, escaso tiempo para la realización del protocolo, exceso de horas necesarias para realizar muchos de los experimentos que supone superar con creces el número de horas requeridas para llevarlo a cabo, problemas con las reservas de las cabinas (número insuficiente para la demanda de grupos que obligaba a venir incluso antes del horario de inicio de las prácticas).&nbsp;";"Existe una descompensación en cuanto a la carga de trabajo que recae en cada profesor. Deberían todos ser capaces de solucionar las dudas que van surgiendo en las prácticas pero la realidad es que no es así. Se debería además poder elegir a los integrantes de tu grupo de prácticas.&nbsp;"
38899;21/12/2017 12:12:01;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;5;2;3;3;5;2;3;3;2;3;3;4;5;3;5;5;5;5;3;4;4;1;5;5;5;5;5;5;1;1;2;2;2;2;2;2;5;4;4;4;4;1;5;5;3;5;5;4;5;3;5;"Me ha gustado mucho el abordaje de la asignatura, permitiendo el desarrollo e la independencia de los alumnos.&nbsp;";"En general, desorganización y falta de coordinación en cuanto a la evaluación de protocolos, tareas a realizar. Ha habido días que no hemos estado haciendo nada.&nbsp;";"Víctor Calvo no debería estar en la asignatura de BEXAI pues que no estaba muchas veces en el laboratorio, &nbsp;no sabía qué responder y daba respuestas ambiguas"
38865;21/12/2017 12:04:02;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;3;4;5;3;4;1;3;3;3;3;3;5;5;5;4;3;3;5;3;5;3;2;5;5;4;4;5;5;1;1;2;2;3;2;3;2;5;5;3;4;4;0;5;4;3;4;5;4;4;5;5;;;
38872;21/12/2017 12:04:38;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;4;2;4;1;5;4;3;3;3;3;2;5;5;5;5;5;4;4;5;3;2;2;5;4;4;4;4;4;1;1;3;2;2;2;2;2;4;4;4;4;4;1;5;5;5;5;5;5;5;4;5;It is the first time we are able to create and develope a full experiment. I think we have learn more this way than others.;There should not be a final exam. Grade should be established by the protocol and the lab work. I found rather difficult to study, regarding how the assignature was taught.;
38914;21/12/2017 12:14:12;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;2;3;4;2;4;5;3;3;1;3;2;5;5;3;5;5;4;4;3;4;2;2;4;4;4;4;5;4;1;2;3;2;2;2;2;2;3;4;4;4;3;2;4;4;3;4;3;3;4;3;4;Mayor integracion de resultados de diferentes gruposMayor trabajo en equipoPensar en nuestra propia hipótesis y objetivo y como ejecutar el protocoloMayor capacidad de organizacion;"Poco material&nbsp;Falta de organizacion";
38913;21/12/2017 12:13:19;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;4;5;3;1;2;2;3;3;3;3;2;5;4;5;4;1;4;4;2;4;3;2;5;4;5;4;4;3;1;1;3;2;2;2;3;2;4;4;3;2;4;2;4;4;2;3;2;4;4;4;5;Un buen abordaje para poder construir realmente científicos para un futuro, el proceso de aprendizaje es el adecuado;Profesores que no tenían clara la metodología y retrasaban al alumno (aunque no en nuestro grupo), necesidad de más horas (las que hay son innecesarias), mayor libertad del alumno para poder realizar experimentos de forma individual (y no atado a un grupo), necesidad de sesiones de trabajo por grupos de 3 para poder realizar protocolos y diario mucho más en común.;Es necesaria una mayor disponibilidad de tiempo y técnicas. Cada alumno debería poder disponer de la suficiente libertad como para poder realizar experimentos por sí sólo, lo cual aumentaría mucho el aprendizaje aunque aumentaría también la necesidad de asesoramiento (es decir, no hacer los experimentos en grupos de 3 sino de 1). Por último, es necesario más tiempo porque el alumno no dispone de margen para poder realizar los experimentos que desea y ponerlos a punto para obtener conclusiones. Además, los grupos no siempre funcionaban bien y el reparto del trabajo a posteriori del laboratorio no era equitativo. En general, unas prácticas mucho más útiles que en otras ocasiones, no obstante hay mejoras a realizar.
38909;21/12/2017 12:12:47;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;2;3;5;1;4;3;3;3;3;3;2;5;4;4;4;3;4;4;3;5;5;5;5;5;5;5;5;4;3;1;2;3;3;3;3;2;4;2;5;5;4;2;4;3;4;4;3;5;4;1;4;Fomenta el trabajo en equipo, a tener iniciativa y a reflexionar sobre el por qué de cada experimento que se realiza.;Caos en cuanto al método de calificación;Debería explicarse mejor lo que debe contener el cuaderno.Debería realizarse feedback casi diario a cada grupo.
38871;21/12/2017 12:04:29;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;2;3;5;1;5;5;3;3;3;3;3;5;5;4;5;1;3;5;3;4;3;3;5;4;4;5;2;2;2;1;3;2;2;3;2;2;5;1;5;5;5;1;4;4;3;4;4;4;4;5;5;;;
38867;21/12/2017 12:04:09;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;2;4;5;2;4;2;3;3;2;3;3;5;5;5;5;3;3;4;3;3;3;2;3;4;5;4;5;3;1;1;1;2;2;2;1;1;1;0;4;4;0;3;4;4;2;4;5;5;3;4;4;Hemos realizado nuevas tareas importantes en el trabajo de laboratorio habitual por primera vez tales como buscar la hipótesis y diseñar el protocolo;Falta de materiales y al principio un poco de desorganización;
38874;21/12/2017 12:05:29;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;3;1;3;1;5;1;3;3;3;3;3;5;5;5;4;3;4;5;3;4;2;1;5;5;5;5;5;5;1;1;3;2;2;3;2;2;4;4;4;5;5;3;4;4;3;4;5;4;4;3;5;It enhances our probability of reaching fundamental competences that will be surely necessary in our future investigation jobs.;The time we must use to fulfill our objectives in the end of the lab classes is poorly represented in the general timetable.;
38900;21/12/2017 12:12:05;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;3;4;2;2;5;3;3;3;3;3;3;5;5;5;5;5;5;5;3;4;3;3;4;4;4;4;4;4;2;2;2;2;2;2;2;2;3;3;5;5;4;1;4;4;4;4;4;4;5;5;5;Es una nueva forma de llevar a cabo las prácticas que conlleva un aprendizaje mucho mayor, y personalmente creo que mucho más interesantes. Nos obliga a pensar más, trabajar más y por tanto a aprender a desenvolvernos mejor en un laboratorio.;"En ocasiones la organización no fue buena, y no tuvimos claro que se evaluaba. Además, bastantes cosas de los protocolos generales no eran correctas.&nbsp;";"La ayuda de las becarias y becarios que han estado con nosotros ha sido enorme. Por tanto veo que ese formato de ayuda aparte de las profesoras, debe mantenerse.&nbsp;&nbsp;"
38888;21/12/2017 12:09:03;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;3;3;4;2;5;4;3;3;3;3;3;5;5;3;4;4;5;5;4;3;3;2;5;4;5;5;5;3;1;1;2;2;2;3;2;1;3;5;5;5;5;2;5;4;3;4;3;4;4;3;4;"-En algún momento debíamos enfrentarnos a partir desde cero y plantear nosotros los experimentos para obtener un objetivo específico.-Los profesores del grupo de transcripción han hecho mucho incapié en que aprendiera mis y entendieran os por qué&nbsp; usar una técnica u otra, para qué,&nbsp; cómo analizar los resultados.";-El examen final no supondrá una adquisición de conocimientos ni parecida a la obtenida en el laboratorio y distintas sesiones de discusión. Quizás incluso perjudique, pero esta por ver-La parte práctica debería tener más peso en la nota final.-No es necesario evaluar todo y tan desde el principio. Si se quiere que nos enfrentemos solos a ciertas circunstancias debe haber margen de aprendizaje.;
38889;21/12/2017 12:09:24;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;1;1;2;1;4;1;3;3;3;3;2;5;5;5;4;1;3;3;2;3;2;2;5;4;5;1;3;3;1;2;3;2;2;3;3;2;0;2;3;3;2;4;5;4;3;3;2;3;3;2;3;Diseñar nosotros mismos los experimentos y saber qué controles se deben emplear en cada uno de ellos.;"No hay suficiente material.El feedback fue bastante pobre, y no se tuvo consciencia de cómo hacer el protocolo hasta una semana antes de entregarlo. Haciéndonos cambiar todo el planning.Muchas veces no había el suficiente personal (profesores) para poder responder a las preguntas y eso retrasó mucho el avance del experimento.La agrupación por equipos de manera aleatorio perjudica en gran medida si uno de los integrantes realiza todo el trabajo y el otro casi no aporta; ya que la nota es repartida.&nbsp;";"Mejor organización. Esté más organizado y se sepa bien que es lo que se realizará en cada momentoHaya mayor feedback por parte de los profesores.Dejen elegir a los compañeros de trabajo, no por ""favoritismos"" sino porque sabemos quién trabaja de verdad en el laboratorio.&nbsp;"
38876;21/12/2017 12:05:56;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;3;4;2;2;4;3;3;3;3;3;3;4;4;4;4;3;3;3;3;3;3;2;1;3;4;2;3;3;1;2;1;2;2;3;2;2;3;2;2;3;3;3;4;3;4;4;4;4;4;4;4;"Muy interesante y formativo, porque te dejan ser ""investigador de verdad"" por unas semanas";La poca implicación de algunos profesores;
38912;21/12/2017 12:13:06;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;2;4;2;3;4;4;3;3;3;3;3;5;4;5;5;4;4;5;3;3;5;2;5;5;5;5;5;4;2;1;3;2;2;3;2;2;4;4;5;5;4;3;4;5;5;5;5;5;5;5;5;"Estas prácticas han sido totalmente distintas a cualquier cosa que hemos hecho hasta ahora, nos ha permitido darnos cuenta de muchas cosas que no sabíamos hasta ahora, como el hecho de que hay que trabajar mucho más de lo que creíamos ya que el diseño del protocolo lleva mucho tiempo antes de trabajar en la poyata. También hemos aprendido lo que viene siendo la investigación de una forma más cercana y realista que haciendo las prácticas tradicionales que se llevan haciendo todos estos años anteriores.&nbsp;";"Algo más de coordinación entre los distintos profesores, ya que en ocasiones no se aclaraban sobre cómo se iba a llevar a cabo la evaluación de los protocolos o cuándo. Nos tendrían que dar feedback de nuestros protocolos individuales antes de realizar o de entregar el grupal, porque errores que hayan cometido todos los integrantes del grupo en el individual no se incluirán en el grupal porque ninguno se dará cuenta de ello a no ser que sean corregidos.&nbsp;";
38879;21/12/2017 12:07:02;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;2;2;2;3;3;5;3;3;3;3;2;5;5;5;5;3;4;5;3;4;3;2;5;3;4;5;4;3;3;2;3;3;2;3;2;3;1;2;5;5;3;2;4;4;3;4;5;5;4;3;5;Nos ha permitido desarrollar nuestras propias ideas y aprender a trabajar en equipo. Además nos ha permitido ser conscientes y responsables de cada paso que dábamos en el laboratorio. En general, ha permitido adquirir más conocimientos y experiencia que unas prácticas tradicionales;Demasiadas horas en el laboratorio comparadas con las especificadas en la guía docente (y desigual entre grupos) y que han alterado nuestro horario de trabajo en casa.Debería haber habido mayor coordinación entre los profesores, especialmente a la hora de transmitirnos que debíamos incluir en los protocolos y lab reports;Creo que se debería seguir con este modelo de prácticas pero que hay bastantes cosas que mejorar
38894;21/12/2017 12:10:31;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;3;2;4;1;5;5;3;3;3;2;2;5;5;5;5;3;5;5;3;4;5;1;5;5;5;4;5;4;2;1;2;2;2;3;3;2;2;4;5;5;4;3;5;4;4;4;5;4;4;5;5;-implicación por parte de alumnos y profesores.- Aprender a plantear hipótesis y realizar experimentos en base a esa hipótesis de forma eficiente y crítica, no simplemente seguir un protocolo.;- El lío que había al principio en torno a la elaboración del protocolo.;"Las prácticas han estado muy bien y se agradece la implicación de los profesores. Desde luego muchísimo mejores que las prácticas tradicionales en todos los aspectos. Lo único que faltaría sería organizarlas un poco más (fechas de entregas, lab meetings, que los profesores estén de acuerdo sobre lo que tenemos que entregar o tener preparado para los días siguientes...), pero seguro que el año que viene ese aspecto mejora mucho, ya que considero que se debe a la falta de experiencia en este nuevo modelo de prácticas. En general, gracias por haber aplicado este modelo de prácticas y no el tradicional, espero que continúe así en los próximos años.&nbsp;"
38905;21/12/2017 12:12:42;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;2;5;4;1;4;4;3;3;3;3;3;5;5;3;3;2;2;5;5;4;1;4;5;4;2;1;1;4;1;2;3;2;2;3;3;1;5;1;3;4;1;0;4;4;1;1;5;4;3;5;1;1. Trabajar en un modelo no empleado antes.2. Elaborar desde cero, tratando de hacer modificaciones en un protocolo de células para adaptarlo a organismo completo.3. Ver el potencial de las técnicas pero al mismo tiempo la dificultad de que salga bien.4. Frustrarse.;Un solo profesor para tantos.Estar dos personas en un solo grupo siendo una de ellas de Erasmus que no sé si no entendía las cosas o no y no participaba en elaborar protocolos. Al menos, poner a gente de Erasmus en un grupo de 3 siempre.Mucha falta de material para todos, faltaban separadores de cubetas teniendo las propias cubetas.Demasiado trabajo sin más, nosotros nos organizamos, no me ha gustado el forzar a hacer las cosas solo por exceso de confianza, mejor ahondar en los experimentos y repetir.Hacer controles y llevar duplicados biológicos.Por favor, dejen elegir a nuestros compañeros, no vamos a escoger a nuestras parejas sino que sabemos realmente con quién se puede trabajar.;Más tiempo de prácticas.
38868;21/12/2017 12:04:10;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;2;3;3;1;2;3;3;3;3;3;2;5;4;3;5;5;5;5;4;5;2;2;5;5;5;5;5;5;1;1;3;3;2;2;3;2;4;3;5;4;3;2;4;4;3;4;5;4;4;3;5;;;
38901;21/12/2017 12:12:07;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;2;2;4;2;5;3;3;3;3;3;2;5;5;5;5;2;3;4;3;3;3;2;5;5;5;3;5;3;3;2;3;3;3;3;2;3;1;3;4;4;4;1;5;5;5;5;5;4;3;5;5;Open question model is great for learning how to formulate hyptheses, design experiments to support them, record and analyze data and draw conclusions. Overall, this approach has been fairly satisfactory.;Teachers did not reach a consensus regarding assessment of lab activities.Planning of activities is required - limitations of materials should be avoided by scheduling every group's work collectively to prevent crowding and total lack of small lab material.;Please, STATE CLEARLY what students are expected to record in their lab reports for assessment. This has been a big source of confusion.Assessment of the final lab report should have a greater impact on the final grade, given that each group carried out their own projects, and assessment based on a multiple-option test, the same for all students, is not a fair assessment method. The final exam should either be specific for each lab group, based on their overall experimental approach, or have a smaller impact on the final grade.
38895;21/12/2017 12:10:36;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;2;3;4;1;5;3;3;3;3;3;2;5;5;5;5;2;4;5;3;5;4;1;3;5;5;3;5;3;2;1;2;2;3;3;2;2;0;2;5;5;5;1;4;4;4;5;2;3;5;4;5;Se ha fomentado mucho el pensamiento crítico, el razonamiento y el trabajo en equipo. Nos hemos acercado mucho a una situación de trabajo real en el laboratorio y a medida que se desarrollaban las prácticas nos hemos visto más sueltos y con capacidad para tomar decisiones autónomas;Se ha hecho poco hincapié en los protocolos y por qué se hacía cada paso, ha faltado explicar más conceptos y teoría en ese sentidoEntendemos que es el primer año que se hace, pero ha faltado un poco más de organización y planificación para optimizar las horas de trabajo en el laboratorio.;
38892;21/12/2017 12:10:25;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;4;1;4;1;3;3;2;3;3;2;2;5;5;3;4;3;4;4;3;4;3;2;4;5;5;5;5;5;2;1;2;2;3;2;2;2;0;4;5;4;3;4;5;4;3;4;4;4;4;3;5;La capacidad de pensar por nosotros mismos la finalidad de los experimentos, que si bien ha sido necesario hacerlos una primera vez en las prácticas de 1 y 2 porq era nuestro primer contacto con muchas técnicas, volver a simplemente hacerlos sin pensar en 3 seria algo ridículo por lo que creo que el cambio de prácticas era necesario.Otro aspecto positivo ha sido la libertad para hacer las cosas sin estar tan encima de nosotros como si fuesemos niños, han ocurrido algun fallo gordo pero creo que de ese tambien se aprende y tenemos que tropezar para aprender.;Sabemos que en un laboratorio sabes cuando entras pero no cuando sales, sin embargo creo que las horas que indica el horario y los créditos asi asignados a la asignatura no son reales, equivaldría a por lo menos 6h al día mínimo y no 4La desorganización que se notaba en los profesores al principio, si bien luego ha mejorado y entiendo que es la primera vez que se hace este tipo de prácticas, al principio estabamos tan perdidos los alumnos como los profesores sobre por donde tirar.;Creo que ha sido un cambio necesario y que estando en 3 es algo que se debería haber hecho antes.
38915;21/12/2017 12:14:20;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;3;3;3;2;5;2;3;3;2;3;3;5;5;3;5;3;3;4;3;3;3;3;4;3;4;4;4;5;1;1;2;2;3;3;2;2;2;4;3;4;3;2;4;3;2;4;4;4;3;4;4;Se aprende más a desenvolverse en un laboratorio por uno mismoNo hay que centrarse únicamente en un protocolo pre-establecido sino que hay que pensar en como elaborarlo desde ceroHay mayor implicación a la hora de entender los métodos y las vías de estudio;"Aunque hay una mayor libertad a la hora de trabajar en el laboratorio a veces es excesiva para ser la primera vez que lo hacemosLa mayoría de los protocolos que se proporcionaron eran erróneos&nbsp;Sobre todo al inicio de las prácticas es necesario un mayor apoyo y ayuda por parte de los profesores, para comenzar a idear un protocolo.No estaba claro desde el inicio que documentos había que entregar o que es lo que se iba a evaluar";Pienso que es necesario que al inicio de las prácticas se explique detalladamente como realizar un protocolo, puesto que es la primera vez que lo hacemos y que algunas de las pautas que se proporcionaron en moodle no eran compartidas por todos los profesores.
38902;21/12/2017 12:12:12;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;2;2;4;5;4;2;3;3;3;3;3;4;4;4;3;2;3;4;2;5;3;2;4;5;4;5;5;5;1;1;2;3;2;2;2;2;4;3;3;4;4;2;4;5;4;3;3;3;3;2;4;"Considero que lo mas positivo ha sido aprender a trabajar en grupo y a distribuir tareas además de el feedback entre los distintos grupos con experimentos distintos que permiten hacer una puesta en común muy útil. Por supuesto lo mas útil es el hacerse preguntas sobre un tema en concreto y buscar todos los abordajes posibles y poder adaptarlos entre todos a nuestras capacidades y nuestra disponibilidad.&nbsp;";"Algunos problemas de claridad en cuanto a cosas que entregar, que deberían estar más claras o distribuidas de distinta manera. También falta de material en muchas ocasiones.&nbsp;Quizás problemas de organización en cuanto a la distribución de la horas. &nbsp;";"Creo que se debería distribuir el horario de otra manera porque hay días que el tiempo en el laboratorio ha sido excesivo y un poco cansado pero porque el proceso requiere de más tiempo.&nbsp;"
38898;21/12/2017 12:11:44;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;2;1;2;1;5;1;3;3;3;3;3;5;5;5;5;5;5;5;1;1;1;2;5;4;5;5;5;3;1;2;3;2;2;2;2;2;2;3;2;5;1;1;5;5;1;4;4;4;3;5;3;Permite ganar autonomía. Implica que tienes que tener muy claro lo que vas a hacer para organizar el día y lo que necesitas. Supone adquirir y desarrollar capacidad de autocrítica, además de tener que deducir los posibles fallos de los experimentos.Además, conseguimos recopilar mucha información, lo cual resulta en una práctica relativamente satisfactoria.DESTACO especialmente el papel de Ana Rojo, que ha sido un apoyo fundamental en el todo el proceso. Excelente explicando y en el trato, no teniendo absolutamente ninguna queja, sino todo lo contrario.;En el caso de Bioquímica, criticaría la organización, puesto que se partía de la idea de hacer dos experimentos que se redujeron a uno por no disponer de cabinas de cultivo. Esto resultó en que varios grupos estuvieron varios días haciendo muy pocas cosas y además entre 3, de manera que resulta en menos trabajo que otros grupos, causando cierta decepción.;
38883;21/12/2017 12:08:00;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;4;2;3;1;1;4;3;3;3;3;3;5;5;4;5;3;3;5;3;5;4;4;4;4;5;5;5;4;2;2;2;2;3;3;2;2;2;3;5;5;4;4;3;4;4;4;5;4;4;4;5;Sirven para acercarte a la vida del laboratorio;Ha faltado un mayor feed-back en los protocolos y en las presentaciones, se necesitan mas reuniones individuales con cada grupo;"El primer dia de trabajo del laboratorio se deberia dedicar a aprender a trabajar &nbsp;con el organismo modelo elegido y los dias siguientes se deberian comenzar los protocolos. Ademas estaria bien hacer un protocolo comun con todo el grupo para tener una idea de como se hacen."
38911;21/12/2017 12:13:06;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;2;4;2;1;1;1;3;3;3;3;2;5;4;4;4;2;3;4;2;4;2;1;5;5;5;4;5;5;2;1;3;3;2;2;2;2;2;5;5;5;4;3;4;4;3;3;3;3;4;2;4;"Te invita a ponerte en el papel de un investigador que se plantea una pregunta y tiene que buscar la manera de encontrarle respuesta.&nbsp;Despierta nuestra capacidad de integración de todos nuestros conocimientos y nos ayuda a ver hasta qué punto conocemos las aplicaciones de lo que hemos estudiado";Es necesario mejorar la organización, tanto temporal como a nivel de materiales, con el fin de mejorar el resultado de los experimentos y la motivación de los alumnos.;Me gustaría destacar que para el buen desarrollo de los experimentos y el correcto aprendizaje de los alumnos juega un papel fundamental la exhaustiva dedicación de los profesores y personal de laboratorio. Esto es especialmente importante debido al carácter individual de los experimentos. El fomento por parte del profesor para que los alumnos compartan todas sus dudas antes de ponerse a trabajar en cualquier aspecto es fundamental para esta asignatura.Dicho esto, creo que había notables diferencias en la organización de los grupos que deberían mejorarse para adaptarse a los horarios establecidos.
38980;22/12/2017 18:37:46;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;3;3;4;3;5;1;3;3;3;3;3;5;5;5;5;3;3;4;3;3;3;4;4;4;4;4;4;5;1;2;2;2;1;1;2;2;5;1;4;4;4;2;4;4;4;4;3;3;4;4;4;;;
38926;21/12/2017 12:55:19;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;4;5;4;2;5;1;3;3;3;3;2;4;4;4;5;3;3;3;3;3;3;3;5;4;5;5;5;5;1;1;3;1;2;2;3;3;3;4;4;4;3;3;4;4;3;4;4;3;3;2;3;"Ha sido muy interesante la experiencia, puesto que al fin y al cabo es lo que finalmente tendremos que hacer en nuestra vida experimental. He aprendido a diseñar experimentos y protocolos, y a analizar datos experimentales.&nbsp;Destacar la labor de Ana Rojo y Óscar y los becarios de la primera semana.&nbsp;";"El horario propuesto no es suficiente, se necesitan más horas. También los tiempos de entrega eran muy precipitados.&nbsp;";
38877;21/12/2017 12:06:19;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;3;3;2;2;2;3;2;2;2;2;2;3;4;4;3;3;3;3;3;3;2;1;5;2;3;3;4;2;1;1;2;2;3;3;2;1;4;4;3;3;4;2;3;3;3;4;4;4;4;3;4;Está bien diseñar el experimento desde el principio, ya que nunca antes lo habíamos llevado a cabo durante la carrera.;"Cierto caos a la hora de poner en práctica todos los experimentos que previamente habíamos diseñado de forma teórica y organización de experimentos.&nbsp;";
38869;21/12/2017 12:04:16;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;4;3;3;3;3;2;3;3;3;2;3;5;4;4;3;2;4;3;2;4;3;2;2;4;4;4;4;3;2;1;1;2;2;2;2;2;2;2;4;3;3;3;3;3;2;3;3;4;3;3;3;;;
